1, 64, 24, 64, 0.4, relu
1, 64, 48, 64, 0.3, relu
1, 64, 48, 64, 0.3, relu
1, 64, 48, 64, 0.4, relu
1, 64, 48, 64, 0.3, relu
1, 64, 48, 64, 0.2, relu
2, 128, 48, 64, 0.2, relu
2, 128, 48, 64, 0.3, relu
1, 32, 48, 64, 0.3, relu
1, 64, 48, 64, 0.2, relu
1, 64, 48, 64, 0.0, relu
1, 64, 48, 64, 0.5, relu
1, 128, 48, 64, 0.1, relu
1, 64, 48, 64, 0.2, relu
1, 32, 48, 64, 0.3, relu
1, 32, 48, 64, 0.3, relu
1, 64, 48, 64, 0.3, relu
1, 64, 48, 64, 0.2, relu
1, 64, 48, 64, 0.1, relu
1, 128, 48, 64, 0.2, relu
1, 64, 48, 64, 0.3, relu
