40, 32, 40, 168, 0.1, 1e-2, 1e-2, 1e-2, 0.001
40, 32, 50, 168, 0, 1e-3, 1e-3, 1e-3, 0.001
40, 64, 40, 168, 0.3, 1e-2, 1e-2, 1e-2, 0.005
60, 64, 40, 72, 0.3, 1e-3, 1e-3, 1e-2, 0.001
30, 32, 40, 168, 0.3, 1e-2, 1e-2, 1e-2, 0.001 
30, 46, 40, 72, 0.2, 1e-3, 1e-3, 1e-3, 0.003
60, 64, 40, 168, 0.1, 1e-2, 1e-2, 1e-3, 0.001
30, 64, 40, 48, 0.3, 1e-3, 1e-3, 1e-3, 0.0008
40, 64, 40, 168, 0.3, 1e-2, 1e-2, 1e-2, 0.0007
30, 64, 40, 48, 0.3, 1e-3, 1e-3, 1e-2, 0.001
30, 64, 40, 168, 0.3, 1e-2, 1e-2, 1e-2, 0.001
50, 64, 40, 72, 0.3, 1e-3, 1e-3, 1e-2, 0.0005
30, 64, 40, 168, 0.1, 1e-3, 1e-3, 1e-2, 0.0005
50, 64, 40, 168, 0.1, 1e-3, 1e-3, 1e-3, 0.001
60, 125, 40, 168, 0.1, 1e-2, 1e-2, 1e-3, 0.001 
40, 32, 40, 48, 0.3, 1e-2, 1e-2, 1e-2, 0.001 
30, 64, 40, 72, 0.2, 1e-2, 1e-2, 1e-2, 0.0003
50, 64, 40, 168, 0.3, 1e-3, 1e-3, 1e-3, 0.0004
40, 64, 40, 72, 0.3, 1e-2, 1e-2, 1e-2, 0.0005
40, 64, 40, 72, 0.1, 1e-2, 1e-2, 1e-2, 0.001
30, 125, 40, 72, 0.1, 1e-3, 1e-3, 1e-3, 0.001
